address,target_building_id,address_top10,target_building_id_top10
"Лужский район, деревня Мерево, территория ""Центра оздоровления и отдыха ""Молодежный"", дом б/н, литера А",206325,"['Лужский район, деревня Мерево, территория ""Центра оздоровления и отдыха ""Молодежный"", дом б/н, литера А', 'Московское направление ж.д. путепровод № 1 через Южное шоссе, литера А', 'посёлок Тярлево, Нововестинская улица, дом 1, литера Г5', 'г.Санкт-Петербург, Дворцовая набережная, дом 38, литера А', 'г.Санкт-Петербург, улица Шкапина, дом 1, литера А', 'г.Санкт-Петербург, Сенатская площадь, дом 1, литера А', 'посёлок Лисий Нос, Песочная улица, дом 1, корпус 5, литера А', 'г.Санкт-Петербург, 1-я линия В.О., дом 26, литера А', 'г.Санкт-Петербург, Московская площадь, дом 1, литера А', 'г.Санкт-Петербург, Преображенская площадь, дом 1, литера А']","[206325, 203076, 185328, 1281, 139717, 11225, 5382, 109220, 199695, 82175]"
"г.Санкт-Петербург, Шкиперский проток, дом 25, корпус 1, литера А",87653,"['г.Санкт-Петербург, Шкиперский проток, дом 25, корпус 1, литера А', 'г.Санкт-Петербург, Дальневосточный проспект, дом 25, корпус 1, строение 1', 'муниципальный округ Правобережный, улица Ворошилова, дом 25, корпус 1, литера А', 'посёлок Шушары, территория Славянка, Ростовская улица, дом 25, корпус 1, литера А', 'посёлок Парголово, улица Михаила Дудина, дом 25, корпус 1, литера А', 'г.Санкт-Петербург, проспект Косыгина, дом 25, корпус 1, литера А', 'г.Санкт-Петербург, Планерная улица, дом 25, корпус 1, литера А', 'г.Санкт-Петербург, улица Антонова-Овсеенко, дом 25, корпус 1, литера Х', 'г.Санкт-Петербург, Парашютная улица, дом 25, корпус 1, литера А', 'г.Санкт-Петербург, Рыбацкий проспект, дом 25, корпус 1, литера А']","[87653, 213468, 139915, 198059, 129114, 3921, 96721, 7886, 44906, 78194]"
"г.Санкт-Петербург, Гончарная улица, дом 20, литера А",65660,"['г.Санкт-Петербург, Гончарная улица, дом 20, литера А', 'г.Санкт-Петербург, Плесецкая улица, дом 20, корпус 1, строение 1', 'г.Санкт-Петербург, Пражская улица, дом 20, литера А', 'г.Санкт-Петербург, улица Куйбышева, дом 20, литера А', 'г.Санкт-Петербург, Фурштатская улица, дом 20, литера А', 'г.Санкт-Петербург, улица Коллонтай, дом 20, литера А', 'г.Санкт-Петербург, Торжковская улица, дом 20, литера А', 'г.Санкт-Петербург, Краснопутиловская улица, дом 20, литера А', 'г.Санкт-Петербург, Бассейная улица, дом 20, литера А', 'г.Санкт-Петербург, Тамбовская улица, дом 20, литера А']","[65660, 215966, 124988, 49108, 79931, 63855, 31649, 62890, 77555, 48545]"
"г.Санкт-Петербург, Русановская улица, дом 19, корпус 1, литера А",196431,"['г.Санкт-Петербург, Русановская улица, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, Загребский бульвар, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, Репищева улица, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, Новоовсянниковская улица, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, улица Пограничника Гарькавого, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, улица Союза Печатников, дом 19, литера А', 'г.Санкт-Петербург, Новая улица, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, Вербная улица, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, улица Козлова, дом 19, корпус 1, литера А', 'г.Санкт-Петербург, улица Шаврова, дом 19, корпус 1, литера А']","[196431, 24130, 8944, 80189, 91866, 79376, 86300, 98521, 102114, 138910]"
"г.Санкт-Петербург, улица Пограничника Гарькавого, дом 20, корпус 1, литера А",95538,"['г.Санкт-Петербург, улица Пограничника Гарькавого, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Ушинского, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Кустодиева, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Софьи Ковалевской, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Олеко Дундича, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Дыбенко, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Кораблестроителей, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, Ленская улица, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, улица Есенина, дом 20, корпус 1, литера А', 'г.Санкт-Петербург, Бестужевская улица, дом 20, корпус 1, литера А']","[95538, 1060, 46055, 76960, 140887, 87551, 14065, 19410, 83977, 54761]"
"г.Санкт-Петербург, улица Демьяна Бедного, дом 8, корпус 1, литера А",18973,"['г.Санкт-Петербург, улица Демьяна Бедного, дом 8, корпус 1, литера А', 'г.Санкт-Петербург, улица Бадаева, дом 8, корпус 1, литера А', 'г.Санкт-Петербург, улица Адмирала Трибуца, дом 8, литера А', 'г.Санкт-Петербург, Торики, улица Политрука Пасечника, дом 8, литера А', 'г.Санкт-Петербург, Смоленская улица, дом 8, литера А', 'г.Санкт-Петербург, улица Генерала Симоняка, дом 8, корпус 1, литера А', 'муниципальный округ Рыбацкое, территория Усть-Славянка, Советский проспект, дом 8, литера А', 'г.Санкт-Петербург, улица Полярников, дом 8, литера А', 'г.Санкт-Петербург, улица Шотмана, дом 8, корпус 1, литера А', 'г.Санкт-Петербург, улица Котина, дом 8, корпус 1, литера А']","[18973, 99044, 209550, 87540, 187994, 10023, 11776, 60651, 13425, 68478]"
"г.Санкт-Петербург, Дворцовая площадь, дом 10, литера А",106490,"['г.Санкт-Петербург, Дворцовая площадь, дом 10, литера А', 'г.Санкт-Петербург, Торфяная дорога, дом 10, литера А', 'г.Санкт-Петербург, Канонерский остров, дом 10, литера А', 'г.Санкт-Петербург, Вольный остров, дом 10, литера А', 'г.Санкт-Петербург, Елагин остров, дом 10, литера А', 'г.Санкт-Петербург, Шкиперский проток, дом 10, литера А', 'г.Санкт-Петербург, Адмиралтейская набережная, дом 10, литера А', 'г.Санкт-Петербург, Синопская набережная, дом 10, литера А', 'г.Санкт-Петербург, набережная канала Грибоедова, дом 10, литера А', 'г.Санкт-Петербург, Плесецкая улица, дом 10, строение 1']","[106490, 95812, 44868, 69285, 189416, 86222, 67532, 130513, 92897, 216586]"
"г.Санкт-Петербург, проспект Авиаконструкторов, дом 18, корпус 1, литера А",31660,"['г.Санкт-Петербург, проспект Авиаконструкторов, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, Новоизмайловский проспект, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, проспект Космонавтов, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, проспект Юрия Гагарина, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, Шлиссельбургский проспект, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, проспект Героев, дом 18, строение 1', 'г.Санкт-Петербург, проспект Пятилеток, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, проспект Энтузиастов, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, Богатырский проспект, дом 18, корпус 1, литера А', 'г.Санкт-Петербург, проспект Кузнецова, дом 18, корпус 1, литера А']","[31660, 102123, 53515, 99025, 107297, 210753, 87924, 112274, 64043, 34063]"
"г.Санкт-Петербург, улица Куйбышева, дом 25, литера А",92905,"['г.Санкт-Петербург, улица Куйбышева, дом 25, литера А', 'г.Санкт-Петербург, Белоостровская улица, дом 25, литера А', 'г.Санкт-Петербург, Краснопутиловская улица, дом 25, литера А', 'г.Санкт-Петербург, улица Черняховского, дом 25, литера А', 'г.Санкт-Петербург, Балтийская улица, дом 25, литера А', 'г.Санкт-Петербург, Эстонская улица, дом 25, литера А', 'г.Санкт-Петербург, Будапештская улица, дом 25, литера А', 'г.Санкт-Петербург, Автовская улица, дом 25, литера А', 'г.Санкт-Петербург, Кронверкская улица, дом 25, литера А', 'г.Санкт-Петербург, Большая Подьяческая улица, дом 25, литера А']","[92905, 17281, 88561, 204709, 46547, 2438, 48321, 106524, 74457, 43097]"
"г.Санкт-Петербург, Промышленная улица, дом 20/1, литера А",9317,"['г.Санкт-Петербург, Промышленная улица, дом 20/1, литера А', 'г.Санкт-Петербург, Вербная улица, дом 20/2, литера А', 'г.Санкт-Петербург, Кубинская улица, дом 20, литера А', 'г.Санкт-Петербург, Малая Пушкарская улица, дом 20/4, литера А', 'Лужский район, деревня Мерево, территория ""Центра оздоровления и отдыха ""Молодежный"", дом б/н, литера А', 'г.Санкт-Петербург, Гаванская улица, дом 20, литера А', 'г.Санкт-Петербург, Кузнечный переулок, дом 20, литера А', 'посёлок Понтонный, Зелёная улица, дом 20/4, литера А', 'г.Санкт-Петербург, улица Белы Куна, дом 20, корпус 4, литера А', 'г.Санкт-Петербург, 6-я Жерновская улица, дом 41а, литера А']","[9317, 104259, 7847, 198891, 206325, 72311, 70787, 21960, 52254, 112435]"
